,Provider,PotentialFraud,AttendingPhysician,logattnd,BeneID,logpts,meanDiagCodes,DiagcodesRange,meanProcCodes,ProcCodesRange,MeanReimburse,ReimburseRange,ClaimCount,logClmCount,ClmsPerPhysician,ClmsPerPatnt,LogClmsPerPhysician,LogClmsPerPatnt
0,PRV55912,Yes,37,3.6375861597263857,53,3.9889840465642745,8.3,9,0.7666666666666667,3,12250.0,51000,60,4.110873864173311,1.6216216216216217,1.1320754716981132,0.5430121146439587,0.2085267751010951
1,PRV55907,No,35,3.58351893845611,60,4.110873864173311,8.183333333333334,7,0.6833333333333333,3,9125.0,32000,60,4.110873864173311,1.7142857142857142,1.0,0.5954219188395689,0.09515867842537261
2,PRV56046,No,2,1.0986122886681098,13,2.6390573296152584,8.428571428571429,7,0.5,2,8642.857142857143,37000,14,2.70805020110221,7.0,1.0769230769230769,1.9551776625918917,0.16219989321526262
3,PRV52405,No,7,2.0794415416798357,22,3.1354942159291497,7.909090909090909,7,0.5909090909090909,3,7681.818181818182,26000,22,3.1354942159291497,3.142857142857143,1.0,1.1750712753339956,0.09489705908457668
4,PRV56614,No,7,2.0794415416798357,14,2.70805020110221,8.0,6,0.8,2,8333.333333333334,25000,15,2.772588722239781,2.142857142857143,1.0714285714285714,0.8063867035468859,0.15757094823205642
5,PRV54986,Yes,20,3.044522437723423,148,5.003946305945459,8.071895424836601,9,0.7973856209150327,3,10054.248366013071,85000,153,5.0369526024136295,7.65,1.0337837837837838,2.047199419915696,0.1254989144418172
6,PRV54090,No,5,1.791759469228055,27,3.332204510175204,8.0625,7,0.65625,2,8781.25,27000,32,3.4965075614664802,6.4,1.1851851851851851,1.8698349429963246,0.2505613371768499
7,PRV51148,Yes,19,2.995732273553991,33,3.5263605246161616,8.176470588235293,7,0.9117647058823529,3,11717.64705882353,36600,34,3.5553480614894135,1.7894736842105263,1.0303030303030303,0.6357999937591511,0.1222095900767706
8,PRV55839,No,2,1.0986122886681098,3,1.3862943611198906,8.0,3,0.6666666666666666,1,9333.333333333334,13000,3,1.3862943611198906,1.5,1.0,0.46532853891674175,0.09228537411027177
9,PRV55215,Yes,97,4.584967478670572,139,4.941642422609304,8.265734265734265,9,0.8181818181818182,4,9491.608391608392,45000,143,4.969813299576001,1.4742268041237114,1.0287769784172662,0.45366769501842547,0.12106916021597212
10,PRV55193,Yes,1,0.6931471805599453,25,3.258096538021482,8.258064516129032,9,0.7096774193548387,2,14193.548387096775,99000,31,3.4657359027997265,31.0,1.24,3.4272896421559165,0.29229954424223703
11,PRV51145,Yes,1,0.6931471805599453,125,4.836281906951478,7.925465838509317,9,0.8074534161490683,3,9941.614906832297,46000,161,5.087596335232384,161.0,1.288,5.072081166635138,0.3277896289565929
12,PRV55846,No,34,3.5553480614894135,45,3.828641396489095,8.347826086956522,8,0.782608695652174,2,10610.869565217392,80000,46,3.8501476017100584,1.3529411764705883,1.0222222222222221,0.37331606788486754,0.11510845076061425
13,PRV52283,Yes,4,1.6094379124341003,54,4.007333185232471,8.272727272727273,7,0.696969696969697,3,9010.60606060606,61000,66,4.204692619390966,16.5,1.2222222222222223,2.8069208752914703,0.2791426602449024
14,PRV56588,Yes,14,2.70805020110221,96,4.574710978503383,8.17,9,0.76,3,9620.0,42000,100,4.61512051684126,7.142857142857143,1.0416666666666667,1.9793115926924774,0.13239414585034986
15,PRV56118,No,1,0.6931471805599453,14,2.70805020110221,8.142857142857142,6,0.5714285714285714,2,8285.714285714286,22000,14,2.70805020110221,14.0,1.0,2.636295386001925,0.09466108202741298
16,PRV57191,Yes,2,1.0986122886681098,159,5.075173815233827,8.178378378378378,9,0.8162162162162162,4,11135.135135135135,56000,185,5.225746673713202,92.5,1.1635220125786163,4.523306999694552,0.23384515608499143
17,PRV54675,Yes,3,1.3862943611198906,34,3.5553480614894135,7.972972972972973,8,0.7567567567567568,3,11405.405405405405,45000,37,3.6375861597263857,12.333333333333334,1.088235294117647,2.517080057181088,0.17219993811691056
18,PRV54676,Yes,4,1.6094379124341003,36,3.6109179126442243,7.575,8,0.825,2,9380.0,39700,40,3.713572066704308,10.0,1.1111111111111112,2.3100632958175367,0.19128340821100043
19,PRV51393,Yes,1,0.6931471805599453,57,4.060443010546419,8.088235294117647,9,0.7794117647058824,3,10514.70588235294,94000,68,4.23410650459726,68.0,1.1929824561403508,4.211041566482297,0.25678967658078017
20,PRV51342,No,11,2.4849066497880004,28,3.367295829986474,8.25,9,0.9285714285714286,3,11392.857142857143,55000,28,3.367295829986474,2.5454545454545454,1.0,0.971968587113589,0.09498556771292013
21,PRV55834,No,8,2.1972245773362196,9,2.302585092994046,8.222222222222221,3,0.6666666666666666,2,6777.777777777777,8000,9,2.302585092994046,1.125,1.0,0.20179366020677508,0.09430069052013113
22,PRV51578,Yes,51,3.9512437185814275,117,4.770684624465665,8.319672131147541,7,0.6229508196721312,3,10401.639344262296,57000,122,4.812184355372417,2.392156862745098,1.0427350427350428,0.9129603540502359,0.1333465622806233
23,PRV53937,Yes,11,2.4849066497880004,17,2.8903717578961645,8.352941176470589,7,0.9411764705882353,2,12411.764705882353,42000,17,2.8903717578961645,1.5454545454545454,1.0,0.49716323462982726,0.09477559195881244
24,PRV51710,No,9,2.302585092994046,14,2.70805020110221,7.928571428571429,7,0.7142857142857143,3,8642.857142857143,36000,14,2.70805020110221,1.5555555555555556,1.0,0.5030932531730766,0.09466108202741298
25,PRV53135,No,1,0.6931471805599453,6,1.9459101490553132,9.0,2,0.8571428571428571,1,9714.285714285714,15000,7,2.0794415416798357,7.0,1.1666666666666667,1.9502852883467885,0.2348550690367873
26,PRV55023,No,2,1.0986122886681098,29,3.4011973816621555,8.382352941176471,7,0.6764705882352942,3,12000.0,57000,34,3.5553480614894135,17.0,1.1724137931034482,2.8341201613361835,0.24059805281696586
