,Provider,PotentialFraud,AttendingPhysician,logattnd,BeneID,logpts,meanDiagCodes,DiagcodesRange,meanProcCodes,ProcCodesRange,MeanReimburse,ReimburseRange,ClaimCount,LogClmsPerPhysician,LogClmsPerPatnt
0,PRV56011,Yes,36,3.6109179126442243,1164,7.060476365999801,2.6036004235792447,10,0.00035298270384751147,1,261.7860924814684,14000,2833,4.366565105734386,0.9297311585490213
1,PRV57610,No,7,2.0794415416798357,16,2.833213344056216,3.34375,8,0.0,0,234.375,1800,32,1.5400679574288738,0.7413423014224203
2,PRV57595,No,14,2.70805020110221,24,3.2188758248682006,3.107142857142857,8,0.0,0,183.03571428571428,3040,56,1.410290364427638,0.8888626027420888
3,PRV55951,Yes,68,4.23410650459726,320,5.771441123130016,2.5439024390243903,10,0.0,0,224.390243902439,3300,410,1.8129541364809771,0.32295989921307666
4,PRV55903,No,24,3.2188758248682006,25,3.258096538021482,2.5185185185185186,8,0.0,0,400.74074074074076,3300,27,0.20255827713846675,0.16514841618679674
5,PRV54080,No,4,1.6094379124341003,261,5.568344503761097,2.8551483420593367,10,0.0017452006980802793,1,307.80104712041884,11040,573,4.9627940561125286,0.8308714774939392
6,PRV54064,No,14,2.70805020110221,66,4.204692619390966,2.660377358490566,10,0.0,0,407.54716981132077,3400,106,2.036798132669466,0.5340443509601461
7,PRV52038,No,76,4.343805421853684,198,5.293304824724492,2.649789029535865,10,0.0,0,285.3586497890295,3300,237,1.1687634009742065,0.25998393141951803
8,PRV53918,Yes,18,2.9444389791664403,1709,7.444248649496705,2.5869565217391304,10,0.0011148272017837235,3,282.75083612040135,6800,3588,5.294924889003188,0.7882123719521139
9,PRV56743,No,24,3.2188758248682006,328,5.796057750765372,2.6310432569974553,10,0.0,0,323.0534351145038,9020,393,2.801430029584628,0.2609280052527754
10,PRV56559,No,21,3.091042453358316,807,6.694562058521095,2.78796046720575,10,0.0,0,310.26954177897574,7060,1113,3.9717017478945627,0.39147778406516137
11,PRV57710,No,11,2.4849066497880004,336,5.820082930352362,2.552567237163814,9,0.0,0,271.76039119804403,3300,409,3.617599520090103,0.2755277655657197
