Provider,docDegMax,docBtwnMean,docEignMean,docMANN
PRV51001,4,300,0.0011608845386971356,8
PRV51002,9,105.47741806804318,0.14488429786292467,2.466666666666667
PRV51003,1,0,2.960140417601473e-6,1.3492063492063493
PRV51004,4,36.851851851851855,6.073015976120359e-4,3.4583333333333335
PRV51005,0,0,2.927091388742363e-5,NaN
PRV51006,7,381.8139860139861,0.0025112554584551454,7
PRV51007,3,0,0.005432717949953812,4.75
PRV51008,2,15.75,1.3478811683978112e-4,6.666666666666667
PRV51009,2,98,8.561031992093919e-4,14.5
PRV51010,5,1012.6666666666666,1.77177288634897e-4,4.285714285714286
PRV51011,8,519.5277777777778,0.011894537215952185,3.75
PRV51012,5,24.055555555555557,0.0046305713309376505,2.7
PRV51013,1,0,5.851199938999854e-5,2
PRV51014,1,0,4.6432026454772763e-7,4.5
PRV51015,1,0,0,1
PRV51016,0,0,1.1702399877999708e-4,NaN
PRV51017,4,0,0.0746850425444255,2.6597222222222223
PRV51018,5,56.53273670773672,0.08965977973837322,11
PRV51019,2,0.25,4.765071232695498e-6,3
PRV51020,0,0,5.851199938999854e-5,NaN
PRV51021,5,44.39605463980465,2.4611955967736895e-4,2.166666666666667
PRV51022,4,24.908828671328678,0.19966681042701248,10.125
PRV51023,2,0,6.402924769490758e-4,6
PRV51024,5,48.237797619047626,0.03644269490984242,8.333333333333334
PRV51025,7,466.7861111111109,0.003769980280513456,2.533333333333333
PRV51026,3,1.8055555555555554,8.676797229579274e-5,2
PRV51027,3,51.2,0.0010438108208927791,6.875
PRV51028,2,0,0.0021135194790232316,6.5
PRV51029,1,0,9.331389140921524e-4,6
PRV51030,7,165.77306859806853,0.008237998010965284,3.3333333333333335
PRV51031,6,25,0.002613513161285156,1.8095238095238095
PRV51032,1,0,4.3976450071783045e-5,12
PRV51033,7,492.28601121101144,0.12520426490361897,11.428571428571429
PRV51034,5,212.42509851259862,0.0024107014787597414,4.4
PRV51035,4,180.2067460317461,0.00208312191462167,8.25
PRV51036,0,0,1.1702399877999708e-4,NaN
PRV51037,0,0,1.1702399877999708e-4,NaN
PRV51038,3,31.194444444444443,4.0883352550128587e-4,2.3636363636363638
PRV51039,6,56.82222222222223,0.0011143168590772251,4.384615384615385
PRV51040,6,899.4142857142859,6.862812383034135e-4,4.125
PRV51041,3,122.09047619047618,3.246273657649802e-4,6.333333333333333
PRV51042,1,0,5.3267003503114625e-6,1.05
PRV51043,1,0,4.000377469261788e-4,2.6666666666666665
PRV51044,0,0,1.1702399877999708e-4,NaN
PRV51045,3,207.93330280830287,3.676621697019924e-4,13
PRV51046,1,0,0,1
PRV51047,2,50,0.0013631963570244667,4.5
PRV51048,2,0,0.0020500919656717283,2.5
PRV51049,5,46.15399288211789,0.03866907608272566,12.833333333333334
PRV51050,5,138.44997710622715,0,1.8571428571428572
PRV51051,2,0,1.724140492972307e-4,1.5
PRV51052,8,967.8557525807519,0.02766093557217282,8.625
PRV51053,0,0,0,NaN
PRV51054,0,0,1.1702399877999708e-4,NaN
PRV51055,1,0,4.1295679962336494e-5,3
PRV51056,4,324.9914668664669,0.015034918095061934,8.25
PRV51057,0,0,1.1702399877999708e-4,NaN
PRV51058,4,79.63611111111112,0.004374186235133676,3.1666666666666665
PRV51059,10,210.1311507936508,0.9999999999999999,4.923076923076923
PRV51060,4,187.31235431235436,0.07809001094005924,8.3
PRV51061,3,25.065574009324017,0.0017510660237877865,3.1666666666666665
