Provider,patDegMax,patMANN
PRV51001,46,146.34375
PRV51002,127,671.8888888888889
PRV51003,89,205.2962962962963
PRV51004,110,679.8823529411765
PRV51005,151,2401.875
PRV51006,92,85
PRV51007,70,89.84848484848484
PRV51008,32,123.52054794520548
PRV51009,47,119.03731343283582
PRV51010,39,109.13333333333334
PRV51011,72,102.1094527363184
PRV51012,40,1337
PRV51013,41,113.1195652173913
PRV51014,35,132.14772727272728
PRV51015,23,162.14285714285714
PRV51016,3,240.71428571428572
PRV51017,135,2105
PRV51018,116,158.33333333333334
PRV51019,30,311.30555555555554
PRV51020,44,113.2
PRV51021,132,275.72727272727275
PRV51022,100,200.95652173913044
PRV51023,61,128.8967741935484
PRV51024,62,161
PRV51025,66,230.55555555555554
PRV51026,55,378.25
PRV51027,31,108.5204081632653
PRV51028,24,269.609756097561
PRV51029,76,744.3333333333334
PRV51030,101,341.26666666666665
PRV51031,113,1181.5833333333333
PRV51032,25,212.54054054054055
PRV51033,71,106.17592592592592
PRV51034,38,88.84105960264901
PRV51035,46,287.57142857142856
PRV51036,66,52.44021739130435
PRV51037,78,37.57473309608541
PRV51038,79,308.2857142857143
PRV51039,137,642.8888888888889
PRV51040,66,312.79411764705884
PRV51041,47,113.71126760563381
PRV51042,95,897.5
PRV51043,28,133.52702702702703
PRV51044,50,107.20261437908496
PRV51045,46,841.6666666666666
PRV51046,28,120.77922077922078
PRV51047,43,178.1846153846154
PRV51048,59,125.62251655629139
PRV51049,93,382.6666666666667
PRV51050,142,102.65250965250965
PRV51051,106,54.29192546583851
PRV51052,40,109.32704402515724
PRV51053,1,217
PRV51054,33,60.02158273381295
PRV51055,50,171.61111111111111
PRV51056,32,132.8815789473684
PRV51057,8,201
PRV51058,101,455.7931034482759
PRV51059,87,83.73202614379085
PRV51060,74,123.55
PRV51061,37,111.05172413793103
PRV51062,95,50.150093808630395
PRV51063,84,70.34939759036145
PRV51064,144,405.8888888888889
PRV51065,44,141.8909090909091
PRV51066,34,178.13888888888889
PRV51067,75,93.02542372881356
PRV51068,118,164.27586206896552
PRV51069,70,202.8
PRV51070,75,1463.8
PRV51071,38,133.5731707317073
PRV51072,101,1134
PRV51073,72,267.1904761904762
PRV51074,68,1227.3333333333333
PRV51075,24,170.40425531914894
PRV51076,64,117.25547445255475
PRV51077,48,146.83333333333334
PRV51078,39,210.9855072463768
PRV51079,41,217.86206896551724
PRV51080,85,2115.75
PRV51081,71,161.53333333333333
PRV51082,52,151.77777777777777
PRV51083,81,306
PRV51084,81,1154.5714285714287
PRV51085,62,91.77272727272727
PRV51086,47,88.41666666666667
PRV51087,15,360.7894736842105
PRV51088,148,214.5
PRV51089,161,1624.75
PRV51090,21,189.56666666666666
PRV51091,73,126.74193548387096
PRV51092,27,424.2
PRV51093,23,385.46153846153845
PRV51094,26,150.67391304347825
PRV51095,32,206.33333333333334
PRV51096,18,311.6666666666667
PRV51097,67,70.8996282527881
PRV51098,14,242.23809523809524
PRV51099,6,244.14285714285714
PRV51100,11,376.38461538461536
PRV51101,8,341.5
PRV51102,7,276.85714285714283
PRV51103,14,288.04347826086956
PRV51104,16,177.74358974358975
PRV51105,15,69.8125
PRV51106,13,275.7826086956522
PRV51107,16,237.72413793103448
PRV51108,33,134.4025974025974
PRV51109,13,318.47058823529414
PRV51110,12,347.2307692307692
PRV51111,47,64.01953125
PRV51112,98,35.54912516823688
PRV51113,55,82.58108108108108
PRV51114,87,46.94140625
PRV51115,10,191.625
PRV51116,31,141.26582278481013
PRV51117,29,200.22222222222223
PRV51118,36,244.328125
PRV51119,82,74.69908814589665
PRV51120,16,284.64
PRV51121,22,344.7741935483871
PRV51122,23,42.911764705882355
PRV51123,34,456.75
PRV51124,0,-Inf
PRV51125,37,615.6875
PRV51126,21,26.181818181818183
PRV51127,21,964.1666666666666
PRV51128,42,980.9
PRV51129,34,945.5
PRV51130,26,49.96969696969697
PRV51131,14,664.4444444444445
PRV51132,7,793.7777777777778
